Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
Q9BV38	Q9BV38	WDR18_HUMAN	WDR18	WD repeat-containing protein 18	14.7825	13.3518	
Q9BV44	Q9BV44	THUM3_HUMAN	THUMPD3	THUMP domain-containing protein 3	21.8463	17.7361	25.4336
Q9BV57	Q9BV57	MTND_HUMAN	ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	22.8073	20.1025	14.4205
Q9BV68	Q9BV68	RN126_HUMAN	RNF126	E3 ubiquitin-protein ligase RNF126			16.1833
Q9BV81	Q9BV81	EMC6_HUMAN	EMC6	ER membrane protein complex subunit 6	20.9655		27.8409
Q9BV86	Q9BV86	NTM1A_HUMAN	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	15.8682	26.7112	27.418
Q9BVC3	Q9BVC3	DCC1_HUMAN	DSCC1	Sister chromatid cohesion protein DCC1	9.22309		23.5077
Q9BVC4	Q9BVC4	LST8_HUMAN	MLST8	Target of rapamycin complex subunit LST8		8.66203	
Q9BVC6	Q9BVC6	TM109_HUMAN	TMEM109	Transmembrane protein 109	72.8293	66.6042	58.3558
Q9BVG4	Q9BVG4	PBDC1_HUMAN	PBDC1	Protein PBDC1	63.6566	68.3552	72.7299
Q9BVJ7	Q9BVJ7	DUS23_HUMAN	DUSP23	Dual specificity protein phosphatase 23			11.5597
Q9BVK6	Q9BVK6	TMED9_HUMAN	TMED9	Transmembrane emp24 domain-containing protein 9	81.2747	86.3858	95.6114
Q9BVL2	Q9BVL2	NUP58_HUMAN	NUP58	Nucleoporin p58/p45	39.6449		10.1638
Q9BVM2	Q9BVM2	DPCD_HUMAN	DPCD	Protein DPCD			5.64511
Q9BVP2	Q9BVP2	GNL3_HUMAN	GNL3	Guanine nucleotide-binding protein-like 3	38.5239	44.1989	37.6958
Q9BVQ7	Q9BVQ7	SPA5L_HUMAN	SPATA5L1	Spermatogenesis-associated protein 5-like protein 1			7.89565
Q9BVS5	Q9BVS5	TR61B_HUMAN	TRMT61B	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial	22.4828	20.1798	15.3115
Q9BVV7	Q9BVV7	TIM21_HUMAN	TIMM21	Mitochondrial import inner membrane translocase subunit Tim21		25.8432	26.2636
Q9BW19	Q9BW19	KIFC1_HUMAN	KIFC1	Kinesin-like protein KIFC1	1.47084		1.23795
Q9BW27	Q9BW27	NUP85_HUMAN	NUP85	Nuclear pore complex protein Nup85	33.3527	23.8897	26.0969
Q9BW60	Q9BW60	ELOV1_HUMAN	ELOVL1	Elongation of very long chain fatty acids protein 1	6.53378	6.76707	11.195
Q9BW71	Q9BW71	HIRP3_HUMAN	HIRIP3	HIRA-interacting protein 3			21.8633
Q9BW83	Q9BW83	IFT27_HUMAN	IFT27	Intraflagellar transport protein 27 homolog			9.01871
Q9BWD1	Q9BWD1	THIC_HUMAN	ACAT2	Acetyl-CoA acetyltransferase, cytosolic	60.2065	62.1103	53.528
Q9BWF3	Q9BWF3;Q9BQ04	RBM4_HUMAN	RBM4	RNA-binding protein 4	24.9215	39.8822	34.2117
Q9BWM7	Q9BWM7	SFXN3_HUMAN	SFXN3	Sideroflexin-3	14.6951		
Q9BWM7;Q9H9B4	Q9H9B4;Q9BWM7	SFXN1_HUMAN;SFXN3_HUMAN	SFXN1;SFXN3	Sideroflexin-3		26.5337	53.0929
Q9BWU0	Q9BWU0	NADAP_HUMAN	SLC4A1AP	Kanadaptin	10.1056	23.5528	19.4801
Q9BX40	Q9BX40	LS14B_HUMAN	LSM14B	Protein LSM14 homolog B	17.4594	16.0985	21.7774
Q9BXB4	Q9BXB4	OSB11_HUMAN	OSBPL11	Oxysterol-binding protein-related protein 11	18.6144	11.753	19.3753
Q9BXJ9	Q9BXJ9	NAA15_HUMAN	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	126.532	129.041	126.821
Q9BXK5	Q9BXK5	B2L13_HUMAN	BCL2L13	Bcl-2-like protein 13	9.09445		8.61871
Q9BXP5	Q9BXP5	SRRT_HUMAN	SRRT	Serrate RNA effector molecule homolog	82.2114	77.7977	75.5618
Q9BXS5	Q9BXS5	AP1M1_HUMAN	AP1M1	AP-1 complex subunit mu-1	23.4308	22.4793	18.4991
Q9BXS5;Q9Y6Q5	Q9Y6Q5;Q9BXS5	AP1M1_HUMAN;AP1M2_HUMAN	AP1M1;AP1M2	AP-1 complex subunit mu-1	62.6005	67.0399	38.7489
Q9BXS6	Q9BXS6	NUSAP_HUMAN	NUSAP1	Nucleolar and spindle-associated protein 1	11.2547		5.91384
Q9BXW7	Q9BXW7	HDHD5_HUMAN	HDHD5	Haloacid dehalogenase-like hydrolase domain-containing 5	30.0461	35.0968	36.1981
Q9BXW9	Q9BXW9	FACD2_HUMAN	FANCD2	Fanconi anemia group D2 protein	7.83958		12.5766
Q9BY32	Q9BY32	ITPA_HUMAN	ITPA	Inosine triphosphate pyrophosphatase	27.6627		22.1045
Q9BY42	Q9BY42	RTF2_HUMAN	RTF2	Replication termination factor 2	6.64608		13.401
Q9BY43	Q9BY43	CHM4A_HUMAN	CHMP4A	Charged multivesicular body protein 4a	29.8367		16.5274
Q9BY44	Q9BY44	EIF2A_HUMAN	EIF2A	Eukaryotic translation initiation factor 2A	49.7065	53.4757	51.2316
Q9BY77	Q9BY77	PDIP3_HUMAN	POLDIP3	Polymerase delta-interacting protein 3	14.0296	17.9102	19.0298
Q9BYC8	Q9BYC8	RM32_HUMAN	MRPL32	39S ribosomal protein L32, mitochondrial			39.2087
Q9BYC9	Q9BYC9	RM20_HUMAN	MRPL20	39S ribosomal protein L20, mitochondrial	14.5473	7.20975	9.51029
Q9BYD1	Q9BYD1	RM13_HUMAN	MRPL13	39S ribosomal protein L13, mitochondrial	27.5405	30.9844	32.0242
Q9BYD2	Q9BYD2	RM09_HUMAN	MRPL9	39S ribosomal protein L9, mitochondrial	22.5097	27.8176	21.7057
Q9BYD3	Q9BYD3	RM04_HUMAN	MRPL4	39S ribosomal protein L4, mitochondrial	37.5357	38.6912	31.1101
Q9BYD6	Q9BYD6	RM01_HUMAN	MRPL1	39S ribosomal protein L1, mitochondrial	51.3021	74.832	46.3713
Q9BYG3	Q9BYG3	MK67I_HUMAN	NIFK	MKI67 FHA domain-interacting nucleolar phosphoprotein			19.972
Q9BYJ9	Q9BYJ9	YTHD1_HUMAN	YTHDF1	YTH domain-containing family protein 1	10.0192		3.7478
Q9BYN0	Q9BYN0	SRXN1_HUMAN	SRXN1	Sulfiredoxin-1	21.2876	22.0969	34.7225
Q9BYN8	Q9BYN8	RT26_HUMAN	MRPS26	28S ribosomal protein S26, mitochondrial	56.1083	51.1999	37.4254
Q9BYT8	Q9BYT8	NEUL_HUMAN	NLN	Neurolysin, mitochondrial	76.9144	62.2731	54.1876
Q9BYZ2	Q9BYZ2	LDH6B_HUMAN	LDHAL6B	L-lactate dehydrogenase A-like 6B		16.6308	
Q9BZE1	Q9BZE1	RM37_HUMAN	MRPL37	39S ribosomal protein L37, mitochondrial	53.4928	53.4258	56.0212
Q9BZE4	Q9BZE4	NOG1_HUMAN	GTPBP4	Nucleolar GTP-binding protein 1	36.5799	39.4505	33.5556
Q9BZE9	Q9BZE9	ASPC1_HUMAN	ASPSCR1	Tether containing UBX domain for GLUT4	16.09		11.4365
Q9BZF1	Q9BZF1	OSBL8_HUMAN	OSBPL8	Oxysterol-binding protein-related protein 8	39.8981	41.9699	34.2833
Q9BZG8	Q9BZG8	DPH1_HUMAN	DPH1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	6.50799		
Q9BZI7	Q9BZI7	REN3B_HUMAN	UPF3B	Regulator of nonsense transcripts 3B			2.81085
Q9BZJ0	Q9BZJ0	CRNL1_HUMAN	CRNKL1	Crooked neck-like protein 1	14.6047	7.01061	6.48272
Q9BZK7	Q9BZK7	TBL1R_HUMAN	TBL1XR1	F-box-like/WD repeat-containing protein TBL1XR1	24.2182	21.724	28.9363
Q9BZL1	Q9BZL1	UBL5_HUMAN	UBL5	Ubiquitin-like protein 5	49.5081	45.5402	51.9725
Q9BZX2	Q9HA47;Q9BZX2	UCK2_HUMAN	UCK2	Uridine-cytidine kinase 2	49.2573	55.998	54.9237
Q9BZZ5	Q9BZZ5	API5_HUMAN	API5	Apoptosis inhibitor 5	206.731	173.943	188.388
Q9C004	Q9C004	SPY4_HUMAN	SPRY4	Protein sprouty homolog 4	8.08811	8.45133	8.11015
Q9C0A0	Q9C0A0	CNTP4_HUMAN	CNTNAP4	Contactin-associated protein-like 4	108.98	94.9241	117.162
Q9C0B1	Q9C0B1	FTO_HUMAN	FTO	Alpha-ketoglutarate-dependent dioxygenase FTO			8.32479
Q9C0C2	Q9C0C2	TB182_HUMAN	TNKS1BP1	182 kDa tankyrase-1-binding protein	15.1118	14.6117	19.3684
Q9C0C9	Q9C0C9	UBE2O_HUMAN	UBE2O	(E3-independent) E2 ubiquitin-conjugating enzyme	41.4764	42.8556	40.3683
Q9C0E2	Q9C0E2	XPO4_HUMAN	XPO4	Exportin-4	21.6152	25.4538	40.4663
Q9GZL7	Q9GZL7	WDR12_HUMAN	WDR12	Ribosome biogenesis protein WDR12	47.6362	51.3147	42.4854
Q9GZM8;Q9NXR1	Q9GZM8;Q9NXR1	NDE1_HUMAN;NDEL1_HUMAN	NDE1;NDEL1	Nuclear distribution protein nudE-like 1			6.75793
Q9GZN8	Q9GZN8	CT027_HUMAN	C20orf27	UPF0687 protein C20orf27	127.29	77.8978	109.885
Q9GZP4	Q9GZP4	PITH1_HUMAN	PITHD1	PITH domain-containing protein 1	23.5109		18.28
Q9GZR7	Q9GZR7	DDX24_HUMAN	DDX24	ATP-dependent RNA helicase DDX24	33.7551	29.0577	17.3689
Q9GZS3	Q9GZS3	WDR61_HUMAN	WDR61	WD repeat-containing protein 61	25.2035		24.5736
Q9GZT3	Q9GZT3	SLIRP_HUMAN	SLIRP	SRA stem-loop-interacting RNA-binding protein, mitochondrial	237.784	228.534	252.932
Q9GZT8	Q9GZT8	NIF3L_HUMAN	NIF3L1	NIF3-like protein 1	23.365	33.809	39.2193
Q9GZU8	Q9GZU8	PIP30_HUMAN	PSME3IP1	PSME3-interacting protein	10.5673	18.3644	17.9414
Q9GZZ1	Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50	56.4857	60.5013	71.3744
Q9GZZ9	Q9GZZ9	UBA5_HUMAN	UBA5	Ubiquitin-like modifier-activating enzyme 5	39.2118	32.7042	25.7049
Q9H061	Q9H061	T126A_HUMAN	TMEM126A	Transmembrane protein 126A		3.86403	28.8482
Q9H074	Q9H074	PAIP1_HUMAN	PAIP1	Polyadenylate-binding protein-interacting protein 1	39.0682	39.5407	43.5513
Q9H078	Q9H078	CLPB_HUMAN	CLPB	Caseinolytic peptidase B protein homolog	13.0971		20.4686
Q9H089	Q9H089	LSG1_HUMAN	LSG1	Large subunit GTPase 1 homolog	26.4259	36.9774	29.9137
Q9H0A0	Q9H0A0	NAT10_HUMAN	NAT10	RNA cytidine acetyltransferase		10.2266	4.42464
Q9H0B6	Q9H0B6	KLC2_HUMAN	KLC2	Kinesin light chain 2	19.9855	15.8276	17.3715
Q9H0C8	Q9H0C8	ILKAP_HUMAN	ILKAP	Integrin-linked kinase-associated serine/threonine phosphatase 2C	31.5129	29.0345	32.8367
Q9H0D6	Q9H0D6	XRN2_HUMAN	XRN2	5'-3' exoribonuclease 2	71.4159	96.7387	89.0023
Q9H0E2	Q9H0E2	TOLIP_HUMAN	TOLLIP	Toll-interacting protein	35.981	35.8703	35.6475
Q9H0H0	Q9H0H0	INT2_HUMAN	INTS2	Integrator complex subunit 2	8.76171		8.74138
Q9H0J4	Q9H0J4	QRIC2_HUMAN	QRICH2	Glutamine-rich protein 2	71.3012	124.771	138.308
Q9H0S4	Q9H0S4	DDX47_HUMAN	DDX47	Probable ATP-dependent RNA helicase DDX47	41.515	58.1572	59.1228
Q9H0U3	Q9H0U3	MAGT1_HUMAN	MAGT1	Magnesium transporter protein 1	19.8966	19.4161	16.6249
Q9H0U4	Q92928;Q9H0U4	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B	39.1601	32.2861	50.9361
Q9H0U6	Q9H0U6	RM18_HUMAN	MRPL18	39S ribosomal protein L18, mitochondrial	30.7247	38.481	33.2279
Q9H0W8	Q9H0W8	SMG9_HUMAN	SMG9	Protein SMG9	5.09059		8.01026
Q9H0W9	Q9H0W9	CK054_HUMAN	C11orf54	Ester hydrolase C11orf54	12.1149	20.904	14.2253
Q9H1A4	Q9H1A4	APC1_HUMAN	ANAPC1	Anaphase-promoting complex subunit 1	8.99796	7.78975	8.9805
Q9H1B7	Q9H1B7	I2BPL_HUMAN	IRF2BPL	Probable E3 ubiquitin-protein ligase IRF2BPL	34.2218	42.3829	37.7469
Q9H1D9	Q9H1D9	RPC6_HUMAN	POLR3F	DNA-directed RNA polymerase III subunit RPC6		4.93869	19.8753
Q9H1E3	Q9H1E3	NUCKS_HUMAN	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	36.3919	17.3546	41.2057
Q9H1K1	Q9H1K1	ISCU_HUMAN	ISCU	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial	14.4427	18.459	20.9211
Q9H1Y0	Q9H1Y0	ATG5_HUMAN	ATG5	Autophagy protein 5			6.44733
Q9H223	Q9H223;Q9NZN3	EHD4_HUMAN	EHD4	EH domain-containing protein 4	53.3341	66.8735	58.8735
Q9H223;Q9H4M9	Q9H4M9;Q9H223;Q9NZN3	EHD1_HUMAN;EHD4_HUMAN	EHD1;EHD4	EH domain-containing protein 4	20.6674	15.0074	24.0007
Q9H269	Q9H269	VPS16_HUMAN	VPS16	Vacuolar protein sorting-associated protein 16 homolog	4.53903		1.97155
Q9H270	Q9H270	VPS11_HUMAN	VPS11	Vacuolar protein sorting-associated protein 11 homolog		36.698	10.3745
Q9H299	Q9H299	SH3L3_HUMAN	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	90.803	96.459	102.233
Q9H2C0	Q9H2C0	GAN_HUMAN	GAN	Gigaxonin	19.9638		24.6695
Q9H2D1	Q9H2D1	MFTC_HUMAN	SLC25A32	Mitochondrial folate transporter/carrier	18.1085		16.1042
Q9H2D6	Q9H2D6	TARA_HUMAN	TRIOBP	TRIO and F-actin-binding protein			17.8188
Q9H2G2	Q9H2G2	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase	16.7938		14.5288
Q9H2H8	Q9H2H8	PPIL3_HUMAN	PPIL3	Peptidyl-prolyl cis-trans isomerase-like 3	25.6854	20.5535	22.8871
Q9H2H9	Q9H2H9	S38A1_HUMAN	SLC38A1	Sodium-coupled neutral amino acid transporter 1	26.5459	23.1364	13.6152
Q9H2J4	Q9H2J4	PDCL3_HUMAN	PDCL3	Phosducin-like protein 3	32.4626	26.0242	23.8087
Q9H2M9	Q9H2M9	RBGPR_HUMAN	RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit	9.23002	5.70989	10.6903
Q9H2P0	Q9H2P0	ADNP_HUMAN	ADNP	Activity-dependent neuroprotector homeobox protein	23.5801	20.2516	15.8733
Q9H2P9	Q9H2P9	DPH5_HUMAN	DPH5	Diphthine methyl ester synthase		20.9133	16.4799
Q9H2U1	Q9H2U1	DHX36_HUMAN	DHX36	ATP-dependent DNA/RNA helicase DHX36	7.54766		9.40668
Q9H2U2	Q9H2U2	IPYR2_HUMAN	PPA2	Inorganic pyrophosphatase 2, mitochondrial	91.8491	81.1399	62.1559
Q9H2W6	Q9H2W6	RM46_HUMAN	MRPL46	39S ribosomal protein L46, mitochondrial	16.5303	32.0966	23.0634
Q9H307	Q9H307	PININ_HUMAN	PNN	Pinin			13.6224
Q9H361	Q9H361	PABP3_HUMAN	PABPC3	Polyadenylate-binding protein 3	51.1158	43.3409	41.385
Q9H3H3	Q9H3H3	CK068_HUMAN	C11orf68	UPF0696 protein C11orf68	42.6591	33.6107	38.4807
Q9H3K2	Q9H3K2	GHITM_HUMAN	GHITM	Growth hormone-inducible transmembrane protein	60.4043	47.8	63.0604
Q9H3K6	Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	61.9332	71.8887	84.7715
Q9H3N1	Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1	111.899	101.14	97.577
Q9H3P2	Q9H3P2	NELFA_HUMAN	NELFA	Negative elongation factor A	40.5799	40.3798	20.8916
Q9H3P7	Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60	25.8595	23.8125	28.0994
Q9H3S7	Q9H3S7	PTN23_HUMAN	PTPN23	Tyrosine-protein phosphatase non-receptor type 23	19.4149	16.6658	14.833
Q9H3U1	Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A	53.7079	54.3967	54.5535
Q9H444	Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b	67.9397	66.1846	57.981
Q9H488	Q9H488	OFUT1_HUMAN	POFUT1	GDP-fucose protein O-fucosyltransferase 1	19.5648		24.1034
Q9H490	Q9H490	PIGU_HUMAN	PIGU	Phosphatidylinositol glycan anchor biosynthesis class U protein	9.56405	9.74028	
Q9H4A3	Q9H4A3	WNK1_HUMAN	WNK1	Serine/threonine-protein kinase WNK1			11.9831
Q9H4A4	Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B	54.5984	61.9755	62.8305
Q9H4A6	Q9H4A6	GOLP3_HUMAN	GOLPH3	Golgi phosphoprotein 3	18.7262		13.3126
Q9H4G4	Q9H4G4	GAPR1_HUMAN	GLIPR2	Golgi-associated plant pathogenesis-related protein 1	9.79589	13.2096	14.0757
Q9H4M9	Q9H4M9	EHD1_HUMAN	EHD1	EH domain-containing protein 1	60.0121	43.0406	32.2429
Q9H4M9;Q9NZN4	Q9NZN4;Q9H4M9;Q9NZN3	EHD1_HUMAN;EHD2_HUMAN	EHD1;EHD2	EH domain-containing protein 1			31.9178
Q9H5Q4	Q9H5Q4	TFB2M_HUMAN	TFB2M	Dimethyladenosine transferase 2, mitochondrial	23.9971	26.275	11.6831
Q9H5V8	Q9H5V8	CDCP1_HUMAN	CDCP1	CUB domain-containing protein 1	50.3451	43.1889	37.1725
Q9H5X1	Q9H5X1	CIA2A_HUMAN	CIAO2A	Cytosolic iron-sulfur assembly component 2A	10.6633	12.8612	16.2115
Q9H6H4	Q9H6H4	REEP4_HUMAN	REEP4	Receptor expression-enhancing protein 4			10.6704
Q9H6S3	Q9H6S3	ES8L2_HUMAN	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2	32.4549	38.093	24.4306
Q9H6T0	Q9H6T0	ESRP2_HUMAN	ESRP2	Epithelial splicing regulatory protein 2		7.54624	12.701
Q9H6T3	Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	21.6193	24.1738	18.2252
Q9H6V9	Q9H6V9	LDAH_HUMAN	LDAH	Lipid droplet-associated hydrolase		6.36621	17.2263
Q9H6Y2	Q9H6Y2	WDR55_HUMAN	WDR55	WD repeat-containing protein 55			5.97507
Q9H6Z4	Q9H6Z4	RANB3_HUMAN	RANBP3	Ran-binding protein 3	44.703	30.6203	31.3554
Q9H773	Q9H773	DCTP1_HUMAN	DCTPP1	dCTP pyrophosphatase 1	48.0189	36.8752	45.0265
Q9H7D7	Q9H7D7	WDR26_HUMAN	WDR26	WD repeat-containing protein 26	20.664		
Q9H7E9	Q9H7E9	CH033_HUMAN	C8orf33	UPF0488 protein C8orf33	26.9595	30.8632	20.2639
Q9H7H0	Q9H7H0	MET17_HUMAN	METTL17	Methyltransferase-like protein 17, mitochondrial			12.3911
Q9H7Z7	Q9H7Z7	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2	49.0887	49.2857	39.5404
Q9H832	Q9H832	UBE2Z_HUMAN	UBE2Z	Ubiquitin-conjugating enzyme E2 Z	47.3765	49.6338	67.7307
Q9H845	Q9H845	ACAD9_HUMAN	ACAD9	Complex I assembly factor ACAD9, mitochondrial	22.7706	15.9101	21.8113
Q9H857	Q9H857	NT5D2_HUMAN	NT5DC2	5'-nucleotidase domain-containing protein 2	13.2988		20.3201
Q9H8Y8	Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2	36.3654	35.7026	33.1654
Q9H910	Q9H910	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2	40.8164	68.9828	45.1727
Q9H936	Q9H936	GHC1_HUMAN	SLC25A22	Mitochondrial glutamate carrier 1	38.3562	38.9357	38.0478
Q9H944	Q9H944	MED20_HUMAN	MED20	Mediator of RNA polymerase II transcription subunit 20	12.1244		15.0371
Q9H974	Q9H974	QTRT2_HUMAN	QTRT2	Queuine tRNA-ribosyltransferase accessory subunit 2	16.6259		16.3387
Q9H993	Q9H993	ARMT1_HUMAN	ARMT1	Damage-control phosphatase ARMT1	4.00236	10.5226	9.34363
Q9H9A5	Q9H9A5	CNO10_HUMAN	CNOT10	CCR4-NOT transcription complex subunit 10	3.5398	9.39729	6.76047
Q9H9A6	Q9H9A6	LRC40_HUMAN	LRRC40	Leucine-rich repeat-containing protein 40	21.2657	14.2594	14.3398
Q9H9B4	Q9H9B4	SFXN1_HUMAN	SFXN1	Sideroflexin-1	184.879	170.692	157.101
Q9H9E3	Q9H9E3	COG4_HUMAN	COG4	Conserved oligomeric Golgi complex subunit 4			7.67036
Q9H9J2	Q9H9J2	RM44_HUMAN	MRPL44	39S ribosomal protein L44, mitochondrial	30.0669	27.1473	32.9489
Q9H9P8	Q9H9P8	L2HDH_HUMAN	L2HGDH	L-2-hydroxyglutarate dehydrogenase, mitochondrial			8.8051
Q9H9Q2	Q9H9Q2	CSN7B_HUMAN	COPS7B	COP9 signalosome complex subunit 7b			42.5733
Q9H9T3	Q9H9T3	ELP3_HUMAN	ELP3	Elongator complex protein 3	30.4841	33.0342	31.356
Q9H9Y6	Q9H9Y6	RPA2_HUMAN	POLR1B	DNA-directed RNA polymerase I subunit RPA2	10.3297		7.97201
Q9HA64	Q9HA64	KT3K_HUMAN	FN3KRP	Ketosamine-3-kinase	31.7706		2.90384
Q9HA77	Q9HA77	SYCM_HUMAN	CARS2	Probable cysteine--tRNA ligase, mitochondrial	11.4561		7.95368
Q9HAB8	Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase	28.7388	20.1614	21.4386
Q9HAU5	Q9HAU5	RENT2_HUMAN	UPF2	Regulator of nonsense transcripts 2	7.80533		16.0571
Q9HAV4	Q9HAV4	XPO5_HUMAN	XPO5	Exportin-5	45.948	39.0975	42.6534
Q9HAV7	Q9HAV7	GRPE1_HUMAN	GRPEL1	GrpE protein homolog 1, mitochondrial	123.915	147.459	141.338
Q9HB07	Q9HB07	MYG1_HUMAN	MYG1	MYG1 exonuclease	94.3515	91.3704	91.5188
Q9HB40	Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase	19.6981		7.69331
Q9HB71	Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	177.502	142.195	168.407
Q9HBH0	Q9HBH0	RHOF_HUMAN	RHOF	Rho-related GTP-binding protein RhoF	7.30924	19.8045	19.6095
Q9HC07	Q9HC07	TM165_HUMAN	TMEM165	Transmembrane protein 165		15.2405	7.58391
Q9HC21	Q9HC21	TPC_HUMAN	SLC25A19	Mitochondrial thiamine pyrophosphate carrier	13.6638	8.88366	10.3952
Q9HC35	Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4	33.139	21.1349	26.895
Q9HC36	Q9HC36	MRM3_HUMAN	MRM3	rRNA methyltransferase 3, mitochondrial			31.962
Q9HC38	Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	88.5874	102.091	106.043
Q9HCC0	Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	3.92957	12.5975	10.0587
Q9HCE1	Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10	18.1377	21.7845	24.9166
Q9HCN4	Q9HCN4	GPN1_HUMAN	GPN1	GPN-loop GTPase 1	9.57162	4.85591	10.3127
Q9HCN8	Q9HCN8	SDF2L_HUMAN	SDF2L1	Stromal cell-derived factor 2-like protein 1	40.8355	38.0497	47.2651
Q9HCU5	Q9HCU5	PREB_HUMAN	PREB	Prolactin regulatory element-binding protein	9.71664		8.30821
Q9HD15	Q9HD15	SRA1_HUMAN	SRA1	Steroid receptor RNA activator 1	11.3723	13.1177	12.1193
Q9HD20	Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase	13.0223		12.9267
Q9HD26	Q9HD26	GOPC_HUMAN	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein	13.5298	9.50271	6.40288
Q9HD33	Q9HD33	RM47_HUMAN	MRPL47	39S ribosomal protein L47, mitochondrial	35.8976	26.6423	31.8062
Q9HD42	Q9HD42	CHM1A_HUMAN	CHMP1A	Charged multivesicular body protein 1a	58.6416	63.9621	59.3418
Q9HD45	Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3	27.5485	33.6005	40.9121
Q9HDC9	Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	104.8	97.4167	100.47
Q9NNW5	Q9NNW5	WDR6_HUMAN	WDR6	WD repeat-containing protein 6	11.0508		
Q9NP58	Q9NP58	ABCB6_HUMAN	ABCB6	ATP-binding cassette sub-family B member 6, mitochondrial	407.724		379.274
Q9NP72	Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	94.1891	75.2444	84.5971
Q9NP77	Q9NP77	SSU72_HUMAN	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	45.7997	54.3714	42.7082
Q9NP79	Q9NP79	VTA1_HUMAN	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog	55.6968	60.8504	76.4044
Q9NP81	Q9NP81	SYSM_HUMAN	SARS2	Serine--tRNA ligase, mitochondrial	31.6972	29.1148	33.6217
Q9NP92	Q9NP92	RT30_HUMAN	MRPS30	39S ribosomal protein S30, mitochondrial	52.2767		15.3323
Q9NP97	Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	29.5999	39.2478	50.2705
Q9NPA0	Q9NPA0	EMC7_HUMAN	EMC7	ER membrane protein complex subunit 7	5.99272	6.48395	
Q9NPD3	Q9NPD3	EXOS4_HUMAN	EXOSC4	Exosome complex component RRP41	13.9739	19.2468	28.3605
Q9NPD8	Q9NPD8	UBE2T_HUMAN	UBE2T	Ubiquitin-conjugating enzyme E2 T	56.1819	45.7798	44.5227
Q9NPF4	Q9NPF4	OSGEP_HUMAN	OSGEP	Probable tRNA N6-adenosine threonylcarbamoyltransferase	17.6539	14.895	21.5828
Q9NPH2	Q9NPH2	INO1_HUMAN	ISYNA1	Inositol-3-phosphate synthase 1	249.377	234.812	267.152
Q9NPI6	Q9NPI6	DCP1A_HUMAN	DCP1A	mRNA-decapping enzyme 1A	5.19218	10.3102	4.74578
Q9NPJ3	Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13	50.8431	47.8739	27.3875
Q9NPL8	Q9NPL8	TIDC1_HUMAN	TIMMDC1	Complex I assembly factor TIMMDC1, mitochondrial	9.89105		
